,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf,,
502,White,1,43,3.5,FW,0.58,0.870833333,1,,
503,White,2,43,3,FW,0.54,0.823214286,1,,
504,White,2,41,3.7,FW,0.75,0.864880952,1,,
505,White,1,42,3.9,FW,-1.21,0.896428571,1,,
506,White,2,28,2.8,MS,-0.76,0.616666667,1,,
507,Amerindian,2,27.5,3.5,FW,-1.54,0.677083333,0,,
508,White,2,46,3.3,FW,-0.76,0.889285714,1,,
509,White,2,45,3.5,FW,0.87,0.895833333,1,,
510,White,2,42,3.7,FW,1.92,0.877380952,1,,
511,White,2,42,3.6,Mt,0.81,0.867857143,1,,
512,White,1,45,3.2,FW,-0.16,0.867261905,1,,
513,White,1,42,3.5,FW,0.71,0.858333333,1,,
514,Asian,1,45,3.4,FW,-1.25,0.886309524,1,,
515,White,2,44,3.4,FW,-0.33,0.873809524,1,,
516,White,1,41,3.5,FW,-1.25,0.845833333,0,,
517,White,2,41,3.6,NG,2.05,0.855357143,1,,
519,Hispanic,1,35,3.6,FW,-1.36,0.780357143,1,,
520,Black,2,34,2.7,FW,-1.56,0.682142857,0,,
521,Black,1,32,2.7,NE,0.71,0.657142857,1,,
522,White,1,47,3,FW,0.71,0.873214286,1,,
523,White,2,44,3.4,FW,0.81,0.873809524,1,,
524,Hispanic,2,42.5,2.3,FW,-1.25,0.750297619,1,,
525,White,1,39.5,3,FW,-1.32,0.779464286,0,,
526,White,1,41,3.5,FW,1.84,0.845833333,1,,
527,White,2,29.5,2.9,MS,-0.33,0.644940476,1,,
528,White,2,45,3.6,FW,0.34,0.905357143,1,,
529,Asian,2,33,3.9,FW,-0.41,0.783928571,1,,
530,Mexican,2,35,2.5,FW,0.19,0.675595238,1,,
531,White,2,43,3.7,FW,-0.26,0.889880952,0,,
532,White,2,44,3.2,FW,1.08,0.854761905,1,,
533,White,2,46,3,FW,-1.27,0.860714286,0,,
534,White,1,39,3.6,FW,-1.73,0.830357143,0,,
